N_solicitado,n_docs,mean,median,stdev,min,max,p25,p75,p95
1000,993,267.7673716012085,244,179.196940854842,3,2933,153.0,341.0,557.1999999999999
5000,4976,268.4262459807074,240.0,177.51060209388524,3,3592,156.75,339.0,566.0
10000,9954,265.8740204942737,238.0,172.76486153108596,3,3592,157.0,334.0,548.3500000000004
25000,24873,268.7064286575805,238,189.55536188142622,3,7612,157.0,337.0,563.0
50000,49741,267.8053919301984,238,187.55065849333712,3,7612,156.0,336.0,558.0
